xai_method,perturbation,severity,cosine_similarity,spearman_correlation,top10_iou,top20_iou
gradcam,blur,1,0.9865995776874552,0.9632059909772933,0.7921888529871669,0.8255079823832101
gradcam,blur,2,0.9237471763622374,0.8377729427910744,0.5379507370056096,0.6008997980316508
gradcam,blur,3,0.7788396886453136,0.5664745249764508,0.30750198995237565,0.38022622318131843
gradcam,brightness,1,0.9764551795265507,0.9427815065019797,0.7386512629498432,0.7803226845350201
gradcam,brightness,2,0.9444940714761086,0.8768318910344034,0.6110077052139743,0.6667912024731176
gradcam,brightness,3,0.9037157817099709,0.7911879787238062,0.5126559174749243,0.5753197141166976
gradcam,jpeg,1,0.9263761405493659,0.8608023683966611,0.5821574706572575,0.6596219651189708
gradcam,jpeg,2,0.8894278012845307,0.7851180774369978,0.49672617579256806,0.5756255598797515
gradcam,jpeg,3,0.8472905685069166,0.6862356068489103,0.3931264169056652,0.48423264775145203
integrated_gradients,blur,1,0.9319122344128525,0.8469647646340506,0.6168411339878461,0.6495566070109243
integrated_gradients,blur,2,0.7586781809880162,0.6067035893287152,0.3288916806002808,0.3898819938221501
integrated_gradients,blur,3,0.5824009468834077,0.41557376444772365,0.1749182472469124,0.2531489090925571
integrated_gradients,brightness,1,0.8737551188651231,0.7443128350937381,0.4784282856208054,0.526810404565324
integrated_gradients,brightness,2,0.6898921177872634,0.4462975241875092,0.28010050594086566,0.3351879945651533
integrated_gradients,brightness,3,0.65124151442673,0.3929715038857246,0.2275127694684376,0.2932392109328969
integrated_gradients,jpeg,1,0.655133544658876,0.5526668588713669,0.24019169253506822,0.3238326107031008
integrated_gradients,jpeg,2,0.6078811903960044,0.5027626800249199,0.2072341882923959,0.2913688056410633
integrated_gradients,jpeg,3,0.5673533551236144,0.45990144557550644,0.18193478577893188,0.2665912954777808
