spoof_type,sample_count,far_apcer,spoof_detection_rate,mean_p_spoof,median_p_spoof
A4,76,0.5131578947368421,0.4868421052631579,0.7582245099558924,0.9857487082481384
PC,56,1.0,0.0,0.11678111566111836,0.004198036738671362
face_mask,42,0.21428571428571427,0.7857142857142857,0.9109714754103195,0.9999982714653015
pad,37,0.08108108108108109,0.918918918918919,0.9973588456978669,0.9999860525131226
phone,42,0.19047619047619047,0.8095238095238095,0.9631661910208917,0.999992311000824
photo,40,0.175,0.825,0.8611109656281769,0.9999995827674866
poster,62,0.5483870967741935,0.45161290322580644,0.7765082372404704,0.9753614068031311
region_mask,34,0.11764705882352941,0.8823529411764706,0.9729238082380856,0.9999987483024597
three_d_mask,43,0.13953488372093023,0.8604651162790697,0.9678766283878061,0.9999692440032959
upper_body_mask,68,0.9558823529411765,0.04411764705882353,0.3790911774338062,0.26073411107063293
